epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,167.826,0.47808,0.39557,0.88901,0.94852,0.96258,0.98472,0.92561,0.41397,0.30274,0.83095,0.000215774,0.000215774,0.000215774
43,172.069,0.44237,0.37409,0.87395,0.93098,0.95699,0.9866,0.92289,0.41039,0.30546,0.82985,0.000204769,0.000204769,0.000204769
44,175.572,0.57997,0.42235,0.98766,0.97569,0.97185,0.98673,0.9235,0.40941,0.27384,0.83109,0.000193763,0.000193763,0.000193763
45,179.133,0.47442,0.36124,0.87976,0.98593,0.97489,0.98673,0.92669,0.40246,0.24333,0.8289,0.000182758,0.000182758,0.000182758
46,183.088,0.47857,0.36551,0.89295,0.98404,0.98186,0.98649,0.92424,0.4026,0.24062,0.828,0.000171752,0.000171752,0.000171752
47,187.041,0.438,0.36249,0.88333,0.97967,0.9695,0.98432,0.92449,0.40542,0.24624,0.83058,0.000160747,0.000160747,0.000160747
48,190.562,0.45257,0.41071,0.87679,0.96683,0.9732,0.98387,0.92326,0.40552,0.25435,0.83035,0.000149741,0.000149741,0.000149741
49,194.065,0.41219,0.33484,0.88307,0.9656,0.97252,0.98384,0.92077,0.40061,0.26189,0.828,0.000138736,0.000138736,0.000138736
50,198.285,0.45519,0.34088,0.89287,0.95987,0.97397,0.98391,0.92368,0.39223,0.24966,0.82469,0.000127731,0.000127731,0.000127731
51,203.89,0.37733,0.31167,0.8398,0.9643,0.98493,0.98423,0.92291,0.38977,0.249,0.82315,0.000116725,0.000116725,0.000116725
52,207.467,0.37127,0.28328,0.83794,0.97101,0.98465,0.98716,0.92487,0.41079,0.26332,0.8273,0.00010572,0.00010572,0.00010572
53,211.774,0.36107,0.30469,0.82121,0.97076,0.98461,0.98727,0.92176,0.40407,0.25729,0.82676,9.4714e-05,9.4714e-05,9.4714e-05
54,215.22,0.35706,0.30383,0.84046,0.97484,0.98424,0.98696,0.92772,0.39813,0.2432,0.82443,8.37085e-05,8.37085e-05,8.37085e-05
55,218.79,0.406,0.27669,0.82227,0.9774,0.98452,0.98673,0.92646,0.39846,0.2391,0.82284,7.2703e-05,7.2703e-05,7.2703e-05
56,222.909,0.33749,0.25853,0.81613,0.98201,0.98453,0.9868,0.92552,0.39987,0.23311,0.8234,6.16975e-05,6.16975e-05,6.16975e-05
57,226.483,0.34711,0.25608,0.82116,0.98027,0.98002,0.98673,0.92696,0.39669,0.23294,0.82359,5.0692e-05,5.0692e-05,5.0692e-05
58,229.951,0.34968,0.27075,0.83561,0.97925,0.98013,0.9868,0.92998,0.39688,0.23219,0.82444,3.96865e-05,3.96865e-05,3.96865e-05
59,233.629,0.39789,0.76087,0.83663,0.98104,0.98295,0.98673,0.93011,0.39716,0.23112,0.82384,2.8681e-05,2.8681e-05,2.8681e-05
60,237.949,0.34469,0.25494,0.82311,0.98229,0.98022,0.98666,0.9288,0.39928,0.23424,0.82396,1.76755e-05,1.76755e-05,1.76755e-05
